Address,Zone_Class
130 COMMONWEALTH CT N,CRS-2
140 COMMONWEALTH CT N,CRS-2
420 GILMAN PL N,CRS-2
525 GILMAN CT N,CRS-2
155 COMMONWEALTH CT N,CRS-2
430 GILMAN PL N,CRS-2
255 NEWBURY PL N,CRS-2
485 GILMAN CT N,CRS-2
230 NEWBURY PL N,CRS-2
440 GILMAN PL N,CRS-2
185 NEWBURY PL N,CRS-2
125 COMMONWEALTH CT N,CRS-2
260 NEWBURY PL N,CRS-2
515 GILMAN CT N,CRS-2
460 GILMAN PL N,CRS-2
270 NEWBURY PL N,CRS-2
175 COMMONWEALTH CT N,CRS-2
380 NEWBURY PL N,CRS-2
520 GILMAN PL N,CRS-2
245 NEWBURY PL N,CRS-2
370 NEWBURY PL N,CRS-2
340 NEWBURY PL N,CRS-2
470 GILMAN PL N,CRS-2
160 COMMONWEALTH CT N,CRS-2
490 GILMAN PL N,CRS-2
310 NEWBURY PL N,CRS-2
360 NEWBURY PL N,CRS-2
330 NEWBURY PL N,CRS-2
235 NEWBURY PL N,CRS-2
350 NEWBURY PL N,CRS-2
530 GILMAN PL N,CRS-2
510 GILMAN PL N,CRS-2
115 COMMONWEALTH CT N,CRS-2
110 COMMONWEALTH CT N,CRS-2
290 NEWBURY PL N,CRS-2
145 COMMONWEALTH CT N,CRS-2
300 NEWBURY PL N,CRS-2
495 GILMAN CT N,CRS-2
205 NEWBURY PL N,CRS-2
165 COMMONWEALTH CT N,CRS-2
120 COMMONWEALTH CT N,CRS-2
450 GILMAN PL N,CRS-2
410 NEWBURY PL N,CRS-2
225 NEWBURY PL N,CRS-2
195 NEWBURY PL N,CRS-2
240 NEWBURY PL N,CRS-2
480 GILMAN PL N,CRS-2
250 NEWBURY PL N,CRS-2
475 GILMAN CT N,CRS-2
320 NEWBURY PL N,CRS-2
105 COMMONWEALTH CT N,CRS-2
500 GILMAN PL N,CRS-2
505 GILMAN CT N,CRS-2
150 COMMONWEALTH CT N,CRS-2
220 NEWBURY PL N,CRS-2
170 COMMONWEALTH CT N,CRS-2
100 COMMONWEALTH CT N,CRS-2
471 GILMAN CT N,CRS-2
280 NEWBURY PL N,CRS-2
135 COMMONWEALTH CT N,CRS-2
390 NEWBURY PL N,CRS-2
400 NEWBURY PL N,CRS-2
300 CARILLON PKWY,CRS-2
5003 BRITTANY DR S,CCS-1
5400 LEELAND ST S,CCS-1
2629 4TH ST S,CRT-1
2624 4TH ST S,CRT-1
2810 5TH ST S,CRT-1
414 24TH AVE S,CRT-1
2346 4TH ST S,CRT-1
2404 4TH ST S,CRT-1
2401 5TH ST S,CRT-1
2601 4TH ST S,CRT-1
414 23RD AVE S,CRT-1
2421 4TH ST S,CRT-1
2318 4TH ST S,CRT-1
2432 4TH ST S,CRT-1
2709 4TH ST S,CRT-1
2525 4TH ST S,CRT-1
2609 4TH ST S,CRT-1
2621 4TH ST S,CRT-1
2515 4TH ST S,CRT-1
2439 4TH ST S,CRT-1
2705 4TH ST S,CRT-1
2424 4TH ST S,CRT-1
2639 4TH ST S,CRT-1
2521 4TH ST S,CRT-1
2410 4TH ST S,CRT-1
2702 4TH ST S,CRT-1
2729 4TH ST S,CRT-1
2537 4TH ST S,CRT-1
2800 4TH ST S,CRT-1
6800 SUNSHINE SKYWAY LN S,CCS-1
3301 PINELLAS POINT DR S,CCS-1
